"CD_MUN";"casos";"ideb_f1";"ideb_f2";"ideb_em";"d1";"d2";"d3";"d4";"d5";"d6"
"1";"3200102";59;6.63333333333333;5.33333333333333;4.9;0.8480119023;0.5885389014;0.390409094;0.7546031584;0.9649672135;0.8243950378
"2";"3200136";20;6.6;4.9;4.1;0.7840887894;0.596922216;0.36858795;0.683268047;0.9653360691;0.7417109681
"3";"3200169";29;6.1;4.15;4.2;0.7865079365;0.5771027132;0.3474160207;0.7146640827;0.9613264427;0.7900920543
"4";"3200201";38;6.23333333333333;5.5;4.8;0.8293667446;0.6404846832;0.3614841237;0.6234088684;0.9749382198;0.8997193663
"5";"3200300";8;6.36666666666667;5.66666666666667;0;0.8053824438;0.6436521253;0.4049217002;0.7293763982;0.9804561273;0.8948545861
"6";"3200359";16;5.6;4.7;0;0.7921093453;0.5656422864;0.3101823397;0.565713993;0.963258895;0.8222956361
"7";"3200409";47;6;4.8;4.7;0.7801502832;0.6398658029;0.402899892;0.7155348604;0.9758599414;0.8975734614
"8";"3200508";5;5.6;5.15;4.1;0.8192853137;0.6038839035;0.3643671714;0.5988969901;0.9697139652;0.9029024117
"9";"3200607";177;6.3;5.06666666666667;4.6;0.7830261961;0.6239572154;0.4357158188;0.7242016646;0.9780194446;0.9136259569
"10";"3200706";16;5.2;4.6;0;0.7681467181;0.5980810811;0.3864864865;0.6009459459;0.9770870871;0.8731756757
"11";"3200805";32;5.8;4.96666666666667;5;0.7845240457;0.5877107717;0.4050783575;0.7223765126;0.983402764;0.9369172783
"12";"3200904";79;6.13333333333333;5.1;4.6;0.8169394602;0.5792878809;0.3828300933;0.7554977251;0.9782388897;0.8567489315
"13";"3201001";30;6.1;5.3;4.6;0.796376847;0.5877180978;0.3546584559;0.6896881058;0.967461132;0.8909296955
"14";"3201100";6;5.6;4.9;0;0.7841360029;0.6408972538;0.4000157828;0.6248421717;0.9842171717;0.9765329072
"15";"3201159";31;6;5.25;4.7;0.755730721;0.5737284287;0.2991976991;0.766064941;0.952644061;0.7741257947
"16";"3201209";251;5.83333333333333;5.03333333333333;4.7;0.8066578676;0.6120774586;0.401990834;0.642746373;0.9741464032;0.9358744198
"17";"3201308";592;5.66666666666667;4.56666666666667;4.2;0.752524667;0.6161643847;0.3975062875;0.6092963161;0.9676070604;0.9077353718
"18";"3201407";35;6;5.7;4.7;0.8023989143;0.6164431405;0.4194840272;0.7244341995;0.9736891124;0.9153045543
"19";"3201506";128;6;5.03333333333333;5;0.8103168978;0.6180262225;0.4235884715;0.7684798016;0.975415387;0.9524450744
"20";"3201605";62;5.63333333333333;5;4.2;0.7847445002;0.5898095091;0.3988436322;0.6339308761;0.9707810645;0.8578480719
"21";"3201704";22;6;5.5;5;0.768609407;0.5835429448;0.3724948875;0.7696830266;0.9648943422;0.8768021472
"22";"3201803";6;5.75;5.9;4.1;0.7736982644;0.5995660881;0.3242100579;0.7839341344;0.9618750927;0.8329439252
"23";"3201902";32;6.83333333333333;5.86666666666667;5.5;0.7991640543;0.5893416928;0.4432079415;0.8237330199;0.9526645768;0.7757053292
"24";"3202009";3;5.9;5;4;0.7823051119;0.5891271057;0.3676620725;0.7707057172;0.9748596223;0.8717457887
"25";"3202108";37;5.96666666666667;4.5;4.2;0.8187944409;0.5620022624;0.3690422323;0.6945041478;0.980505279;0.8565186652
"26";"3202207";27;6;4.7;4.6;0.7667191877;0.5955316742;0.403280543;0.7140601433;0.9736519608;0.8762372738
"27";"3202256";27;6.83333333333333;5;5;0.7656424745;0.5920426452;0.3647507211;0.8204316028;0.9744540585;0.7985939431
"28";"3202306";67;5.8;5.46666666666667;5.5;0.8207841912;0.598309641;0.3812648077;0.7463322398;0.9588117368;0.9263486422
"29";"3202405";202;6.2;4.46666666666667;4.4;0.7788333349;0.6111634314;0.4098810515;0.7401685993;0.9674582328;0.9121300211
"30";"3202454";38;5.8;5.45;5.1;0.7740182384;0.5633260283;0.3726680153;0.8303129917;0.9564134262;0.876116824
"31";"3202504";23;6.26666666666667;4.7;4.8;0.7668983701;0.6231879195;0.411689038;0.6969099553;0.9721849366;0.9548657718
"32";"3202553";24;5.56666666666667;5.05;5;0.7643116177;0.567724388;0.2899667573;0.6666666667;0.9634330613;0.8160981414
